transcription,Spanish,English,Speaker,Citation,Length,Start,Stop,WAV,EAF,File,Token
ʒêʁò nìss jògòʒà,¿Tomas agua todos los días?,Do you drink water everyday?,,BMAF02032021-1-combine:12:48.4,0:01.4,12:48.4,12:49.8,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[12_484-12_498].wav,00866791-2
lːi,,,,BMAF02102021-1-combine:43:00.0,0:00.5,43:00.0,43:00.5,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[43_000-43_005].wav,36248479-1
nèdá blḛ̀ɺâ tʂòpé nòɺé nːèʁê,Ví dos mujeres ayer,I saw two women yesterday,,BMAF01082021-1-combine:05:12.0,0:03.8,5:12.0,5:15.8,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[05_120-05_158].wav,99083511-1
íʔ,fuego,fire,,BMAF01152021-1-combine:19:50.8,0:00.4,19:50.8,19:51.2,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[19_508-19_512].wav,35810241-2
βiú zḛ̀nò bàwḛ̂ʁá nìss,"no hace falta, ya tomé agua","There's no need, I already drank water",,BMAF02032021-1-combine:24:15.8,0:02.6,24:15.8,24:18.4,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[24_158-24_184].wav,34941563-1
wʂê gòláʔ,leeré mañana,I will read tomorrow,,BMAF02172021-1-combine:43:26.3,0:02.4,43:26.3,43:28.7,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[43_263-43_287].wav,00405992-2
zã̂n bènè biǒ,muchos hombres,a lot of men,,BMAF01082021-1-combine:27:44.8,0:01.1,27:44.8,27:45.9,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[27_448-27_459].wav,96398875-1
ʂísáʔ,mi agua,my water,,BMAF01292021-1-combine:21:04.5,0:01.0,21:04.5,21:05.6,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[21_045-21_056].wav,04785141-2
tʂèkàkbéʔ,sus/ustedes,their,,BMAF01152021-1-combine:30:32.4,0:01.0,30:32.4,30:33.4,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[30_324-30_334].wav,24372027-2
ni,,,,BMAF02102021-1-combine:33:57.6,0:00.5,33:57.6,33:58.1,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[33_576-33_581].wav,23398063-1
,Bebí mucha agua ayer,,,BMAF01082021-1-combine:09:52.6,0:09.9,9:52.6,10:02.4,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[09_526-10_024].wav,46952174-1
ʃê jḛ̀ʁá nìss,Tomaré agua mañana,I will drink water tomorrow,,BMAF02032021-1-combine:32:22.9,0:01.5,32:22.9,32:24.5,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[32_229-32_245].wav,25557211-2
nó lén(ŋ),con quien?,with who?,,BMAF02172021-1-combine:16:25.6,0:00.7,16:25.6,16:26.3,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[16_256-16_263].wav,49033475-1
tʂiǒʔ,tu/su,your,,BMAF01152021-1-combine:25:24.7,0:00.6,25:24.7,25:25.3,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[25_247-25_253].wav,88401710-1
nèdá blḛ̀ɺâ tʂòpé nòɺé nːèʁê,Ví dos mujeres ayer,I saw two women yesterday,,BMAF01082021-1-combine:05:29.5,0:03.4,5:29.5,5:32.9,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[05_295-05_329].wav,99083511-2
ʐíkòtó ʒàwbá jètʰ,nuestro.excl perro come tortilla,our.exclusive dog eats tortilla,,BMAF01292021-1-combine:18:17.5,0:02.1,18:17.5,18:19.6,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[18_175-18_196].wav,23498591-2
ʂákàkéʔ,su padre,their father (formal),,BMAF01292021-1-combine:38:53.0,0:01.1,38:53.0,38:54.0,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[38_530-38_540].wav,13653059-2
zwà̰wɪ̰̂n dà̰ ʒḛ̂ʁà nîss jògòʒà,Estoy sano porque tomo agua todos los días,I am healthy because I drink water everyday,,BMAF02032021-1-combine:16:37.3,0:02.6,16:37.3,16:39.9,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[16_373-16_399].wav,07607751-2
lìʒlé,su/vuestra casa,your house,,BMAF01152021-1-combine:35:08.8,0:00.7,35:08.8,35:09.5,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[35_088-35_095].wav,47931705-2
jògòʒá ʒòláʔ,Leo todos los dias,I read everyday,,BMAF02172021-1-combine:36:15.2,0:01.6,36:15.2,36:16.8,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[36_152-36_168].wav,24960248-2
zwà̰wɪ̂n,Estoy sano,I am healthy,,BMAF02032021-1-combine:15:51.1,0:00.9,15:51.1,15:52.0,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[15_511-15_520].wav,12773732-2
bèɭ,pez,fish,,BMAF01082021-1-combine:37:40.2,0:00.4,37:40.2,37:40.6,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[37_402-37_406].wav,86547187-2
jògòʒà ʒḛ̂ʁá nîss,yo tomo agua todos los días,I drink water everyday,,BMAF02032021-1-combine:08:54.4,0:01.9,8:54.4,8:56.4,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[08_544-08_564].wav,84234686-2
t͡ʂàʔ,sartén,pan,,BMAF01082021-1-combine:46:51.1,0:00.6,46:51.1,46:51.7,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[46_511-46_517].wav,17615872-2
ʐíkwḛ̀,su (resp) perro,his/her (respectful) dog,,BMAF01292021-1-combine:10:04.4,0:01.1,10:04.4,10:05.4,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[10_044-10_054].wav,56430254-2
ɺo,,,,BMAF02102021-1-combine:43:05.1,0:00.6,43:05.1,43:05.6,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[43_051-43_056].wav,32264710-1
jògòʒá ʒòláʔ,Leo todos los dias,I read everyday,,BMAF02172021-1-combine:37:16.6,0:01.7,37:16.6,37:18.3,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[37_166-37_183].wav,24960248-2
tʂèbéʔ,tu (el/ella),his/her (familiar),,BMAF01152021-1-combine:26:02.3,0:00.7,26:02.3,26:03.0,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[26_023-26_030].wav,79801579-2
niǎ̰,pie,my foot,,BMAF01152021-1-combine:07:56.5,0:00.6,7:56.5,7:57.1,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[07_565-07_571].wav,00293079-1
jôdǒʔ,iglesia,church,,BMAF01082021-1-combine:26:23.7,0:00.8,26:23.7,26:24.5,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[26_237-26_245].wav,77682872-2
lìʒô,tu/su casa,your house,,BMAF01152021-1-combine:31:29.4,0:00.7,31:29.4,31:30.1,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[31_294-31_301].wav,42548463-1
bá bèláʔ,Ya he leído,I have already read,,BMAF02172021-1-combine:45:25.3,0:01.4,45:25.3,45:26.6,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[45_253-45_266].wav,52495152-2
bá bèláʔ,Ya he leído,I have already read,,BMAF02172021-1-combine:45:19.0,0:01.1,45:19.0,45:20.1,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[45_190-45_201].wav,52495152-2
tʂiàʔ,mi,my,,BMAF01152021-1-combine:25:10.0,0:00.7,25:10.0,25:10.7,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[25_100-25_107].wav,88152782-2
nèðá wêʁá lâl nís nèʁé,,I drank a lot of water yesterday,,BMAF01082021-1-combine:09:52.6,0:09.8,9:52.6,10:02.4,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[09_526-10_024].wav,84525332-1
ʐíkòʒó,nuestro (incl) perro,our (incl) dog,,BMAF01292021-1-combine:10:48.9,0:01.0,10:48.9,10:49.9,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[10_489-10_499].wav,89204318-2
ʐíkwḛ̀,su (resp) perro,his/her (resp) dog,,BMAF01292021-1-combine:10:11.2,0:00.7,10:11.2,10:11.9,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[10_112-10_119].wav,93093997-1
bèné bjǒ zẫn,muchos hombres,a lot of men,,BMAF01082021-1-combine:23:00.8,0:01.0,23:00.8,23:01.8,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[23_008-23_018].wav,85638421-1
líʒòʔ,tu casa,your house,,BMAF01292021-1-combine:07:31.9,0:00.8,7:31.9,7:32.7,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[07_319-07_327].wav,42500323-1
nìaʔ,decir,I say,,BMAF01152021-1-combine:10:00.5,0:00.8,10:00.5,10:01.3,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[10_005-10_013].wav,06451422-1
nìá̰,pie,my foot,,BMAF01152021-1-combine:09:55.2,0:00.5,9:55.2,9:55.7,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[09_552-09_557].wav,97143118-1
jògòʒà ʒḛ̂ʁá nîss,yo tomo agua todos los días,I drink water everyday,,BMAF02032021-1-combine:10:25.2,0:01.7,10:25.2,10:26.9,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[10_252-10_269].wav,84234686-2
ʒêʁò nìss jògòʒà,¿Tomas agua todos los días?,Do you drink water everyday?,,BMAF02032021-1-combine:13:27.7,0:01.8,13:27.7,13:29.5,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[13_277-13_295].wav,00866791-2
nà̰tgí ʒḛ̂ʁá nîss,Estoy tomando agua ahora,I am drinking water now,,BMAF02032021-1-combine:19:42.3,0:01.8,19:42.3,19:44.2,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[19_423-19_442].wav,52217547-1
ne,,,,BMAF02102021-1-combine:33:04.9,0:00.6,33:04.9,33:05.6,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[33_049-33_056].wav,79517941-2
bèné bjǒ zân,muchos hombres,a lot of men,,BMAF01082021-1-combine:30:35.7,0:00.8,30:35.7,30:36.5,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[30_357-30_365].wav,89054563-1
ʒêʁò nìss jògòʒà,¿Tomas agua todos los días?,Do you drink water everyday?,,BMAF02032021-1-combine:13:32.8,0:01.6,13:32.8,13:34.4,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[13_328-13_344].wav,00866791-2
ʂîʒàʔ,Zapoteco,Zapotec,,BMAF01152021-1-combine:06:28.4,0:00.7,6:28.4,6:29.1,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[06_284-06_291].wav,27275351-1
ʐíkwḛ̀ ʒàwbá jètʰ,su (resp) perro come tortilla,his/her (resp) dog eats tortilla,,BMAF01292021-1-combine:15:11.3,0:01.8,15:11.3,15:13.1,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[15_113-15_131].wav,10361275-2
jét láwàʔ,parte de la tortilla es tomada,part of a tortilla is taken,,BMAF02102021-1-combine:47:03.2,0:01.4,47:03.2,47:04.6,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[47_032-47_046].wav,20901459-1
bèɭ,pez,fish,,BMAF01082021-1-combine:37:16.0,0:00.5,37:16.0,37:16.4,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[37_160-37_164].wav,86547187-2
láwàʔ,ojo,my eye,,BMAF01152021-1-combine:05:27.9,0:00.8,5:27.9,5:28.7,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[05_279-05_287].wav,67772202-2
lìʒlé,su/vuestra casa,your house,,BMAF01152021-1-combine:34:49.4,0:01.0,34:49.4,34:50.3,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[34_494-34_503].wav,47931705-2
ʂnḛ́ʔ,su madre,his/her mother (formal),,BMAF01292021-1-combine:45:45.0,0:00.9,45:45.0,45:45.9,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[45_450-45_459].wav,35309284-1
wʂê gòláʔ,leeré mañana,I will read tomorrow,,BMAF02172021-1-combine:43:32.9,0:02.0,43:32.9,43:34.8,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[43_329-43_348].wav,00405992-2
békːò,perro,dog,,BMAF01082021-1-combine:40:17.4,0:00.6,40:17.4,40:17.9,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[40_174-40_179].wav,78221037-2
nèðà ʒḛ̂ʁá nîss jòɣòʒà,yo tomo agua todos los días,I drink water everyday,,BMAF02032021-1-combine:06:34.8,0:02.3,6:34.8,6:37.2,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[06_348-06_372].wav,80344295-2
ʂàtòʔ,nuestro padre,our father (exclusive),,BMAF01292021-1-combine:37:52.6,0:00.8,37:52.6,37:53.4,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[37_526-37_534].wav,01560020-2
lːa,,,,BMAF02102021-1-combine:42:58.9,0:00.6,42:58.9,42:59.5,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[42_589-42_595].wav,00703279-1
lːu,,,,BMAF02102021-1-combine:43:01.0,0:00.4,43:01.0,43:01.4,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[43_010-43_014].wav,96866062-2
βiú zḛ̀nò,no hace falta (literal: no extiendes los manos),there's no need,,BMAF02032021-1-combine:24:10.1,0:01.2,24:10.1,24:11.3,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[24_101-24_113].wav,82229901-2
ʂàʒóʔ,nuestro padre,our father (inclusive),,BMAF01292021-1-combine:36:40.4,0:01.2,36:40.4,36:41.6,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[36_404-36_416].wav,05494573-2
làjáʔ,mi diente,my tooth,,BMAF01152021-1-combine:14:55.1,0:00.5,14:55.1,14:55.7,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[14_551-14_557].wav,90853603-1
ʂîstóʔ,nuestra agua,our water (exclusive),,BMAF01292021-1-combine:24:01.7,0:01.0,24:01.7,24:02.7,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[24_017-24_027].wav,80886824-2
tʂíɻ,pájaro,bird,,BMAF01082021-1-combine:39:51.3,0:00.5,39:51.3,39:51.9,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[39_513-39_519].wav,85898263-1
bèɭ,pez,fish,,BMAF01082021-1-combine:34:41.6,0:00.5,34:41.6,34:42.1,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[34_416-34_421].wav,86547187-2
ʐíkò̰,tu perro,your dog,,BMAF01292021-1-combine:08:20.2,0:00.7,8:20.2,8:21.0,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[08_202-08_210].wav,12385806-1
ʐíkòtó,nuestro (excl) perro,our (excl) dog,,BMAF01292021-1-combine:11:23.5,0:01.1,11:23.5,11:24.6,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[11_235-11_246].wav,37132102-2
ʂîskàkbéʔ,su agua,their water (informal),,BMAF01292021-1-combine:26:20.5,0:01.3,26:20.5,26:21.9,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[26_205-26_219].wav,60010228-1
líʒáʔ,mi casa,my house,,BMAF01152021-1-combine:31:49.0,0:00.8,31:49.0,31:49.8,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[31_490-31_498].wav,73035577-2
ʂàʔ,mi padre,my father,,BMAF01292021-1-combine:28:50.3,0:00.9,28:50.3,28:51.2,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[28_503-28_512].wav,43669859-1
ʐíkòtó,nuestro (excl) perro,our (exclusive) dog,,BMAF01292021-1-combine:11:09.9,0:01.3,11:09.9,11:11.2,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[11_099-11_112].wav,01385345-1
ʂákàkéʔ,su padre,their father (formal),,BMAF01292021-1-combine:39:01.1,0:01.1,39:01.1,39:02.2,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[39_011-39_022].wav,13653059-2
jògòʒá ʒòláʔ,Leo todos los dias,I read everyday,,BMAF02172021-1-combine:36:35.6,0:01.7,36:35.6,36:37.4,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[36_356-36_374].wav,24960248-2
nèʁè bèláʔ,Leí ayer,I read yesterday,,BMAF02172021-1-combine:41:44.1,0:01.1,41:44.1,41:45.2,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[41_441-41_452].wav,81398745-2
zò wèn dà ʒèʁó nìss jòɣòʒà,Estas sano porque tomas agua todos los días,You are a healthy person because you drink water everyday,,BMAF02032021-1-combine:42:04.8,0:02.9,42:04.8,42:07.7,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[42_048-42_077].wav,21793697-1
zó,estar,to be,,BMAF02032021-1-combine:38:45.4,0:00.5,38:45.4,38:45.9,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[38_454-38_459].wav,49816728-1
nèdá blêɺâ nò̰ɺé zẫn nèʁê,Ví muchas mujeres ayer,I saw many women yesterday,,BMAF01082021-1-combine:05:47.2,0:04.1,5:47.2,5:51.4,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[05_472-05_514].wav,31621184-1
ɺáwàʔ,ojo,eye,,BMAF02102021-1-combine:45:38.9,0:00.8,45:38.9,45:39.7,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[45_389-45_397].wav,68865588-1
nàʒá,hoy,today,,BMAF02172021-1-combine:30:49.1,0:00.8,30:49.1,30:49.9,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[30_491-30_499].wav,70914125-2
ʐíkòlé,vuestro perro,your.plr dog,,BMAF01292021-1-combine:11:38.6,0:01.0,11:38.6,11:39.6,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[11_386-11_396].wav,57236189-2
ʂlálěʔe,,hurt,,BMAF01152021-1-combine:18:31.3,0:00.8,18:31.3,18:32.2,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[18_313-18_322].wav,42956290-1
nèʁé,ayer,yesterday,,BMAF01082021-1-combine:04:03.4,0:00.6,4:03.4,4:04.0,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[04_034-04_040].wav,81071068-1
báʃtè wḛ̀ʁá nìss,tomé agua hace un rato,I drank water awhile ago,,BMAF02032021-1-combine:29:24.2,0:01.7,29:24.2,29:25.9,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[29_242-29_259].wav,06737503-2
nːa,,,,BMAF02102021-1-combine:32:59.8,0:00.7,32:59.8,33:00.5,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[32_598-33_005].wav,34570224-1
ʂnà̰,mi madre,my mother,,BMAF01292021-1-combine:45:35.1,0:00.8,45:35.1,45:35.9,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[45_351-45_359].wav,50330791-2
lìʒkàkβéʔ,su casa,their house (informal),,BMAF01152021-1-combine:35:54.8,0:01.0,35:54.8,35:55.8,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[35_548-35_558].wav,24683915-1
ʂnà̰léʔ,su madre (vuestra),your pl. mother,,BMAF01292021-1-combine:45:58.7,0:00.9,45:58.7,45:59.6,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[45_587-45_596].wav,75810112-2
làjàʔ,mi diente,my tooth,,BMAF01152021-1-combine:15:07.1,0:00.5,15:07.1,15:07.6,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[15_071-15_076].wav,17867543-1
nèðá nèzlá nìaʔ làjáʔ ʂíʒàʔ,Yo sé decir diente en Zapoteco,I know how to say tooth in Zapotec,,BMAF01152021-1-combine:15:21.9,0:03.8,15:21.9,15:25.7,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[15_219-15_257].wav,61079727-2
bèɳéʔ,persona,person,,BMAF01082021-1-combine:34:25.8,0:00.7,34:25.8,34:26.4,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[34_258-34_264].wav,14488708-2
ʂéʔ,su padre (el/ella),his/her father (formal),,BMAF01292021-1-combine:35:21.0,0:00.8,35:21.0,35:21.8,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[35_210-35_218].wav,62017056-2
ʂnà̰bèʔ,tu madre (el/ella),his/her mother (informal),,BMAF01292021-1-combine:43:13.5,0:01.2,43:13.5,43:14.7,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[43_135-43_147].wav,00559111-2
ʂǎ̰,yendo,going,,BMAF01082021-1-combine:46:12.1,0:00.6,46:12.1,46:12.7,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[46_121-46_127].wav,02573266-1
wênlḛ̀ zó dà̰ ʒḛ̀ʁò nìss jòɣòʒà,Estas sano porque tomas agua todos los días,You are a healthy person because you drink water everyday,,BMAF02032021-1-combine:38:49.5,0:02.4,38:49.5,38:51.9,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[38_495-38_519].wav,51131713-2
ʂîskàkbéʔ,su agua,their water (informal),,BMAF01292021-1-combine:26:08.7,0:01.0,26:08.7,26:09.7,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[26_087-26_097].wav,60010228-2
t͡ʂàʔ,sartén,pan,,BMAF01082021-1-combine:45:53.8,0:00.4,45:53.8,45:54.1,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[45_538-45_541].wav,17615872-2
ʂísáʔ,mi agua,my water,,BMAF01292021-1-combine:21:02.0,0:01.1,21:02.0,21:03.1,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[21_020-21_031].wav,04785141-2
ʂnàkàkéʔ,su madre,their mother (formal),,BMAF01292021-1-combine:46:16.3,0:01.2,46:16.3,46:17.6,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[46_163-46_176].wav,11938818-2
nàʒâ,hoy,today,,BMAF01082021-1-combine:26:37.3,0:00.5,26:37.3,26:37.9,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[26_373-26_379].wav,26602063-2
ʒô̰ ʒèʁ ʒó nìss jòɣòʒà,nosotros tomamos agua todos los días,we.incl drink water everyday,,BMAF02032021-1-combine:45:58.1,0:02.9,45:58.1,46:01.0,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[45_581-46_010].wav,10051830-2
jà̰,montaña,mountain,,BMAF01152021-1-combine:22:30.9,0:00.6,22:30.9,22:31.5,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[22_309-22_315].wav,54007696-2
nèðá nèzlá nìaʔ làjáʔ ʂíʒàʔ,Yo sé decir diente en Zapoteco,I know how to say tooth in Zapotec,,BMAF01152021-1-combine:15:41.4,0:02.9,15:41.4,15:44.2,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[15_414-15_442].wav,61079727-2
zwà̰wɪ̰̂n dà̰ ʒḛ̂ʁà nîss jògòʒà,Estoy sano porque tomo agua todos los días,I am healthy because I drink water everyday,,BMAF02032021-1-combine:16:44.1,0:02.5,16:44.1,16:46.6,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[16_441-16_466].wav,07607751-2
nó lén,con quien,with who,,BMAF02172021-1-combine:18:16.1,0:00.9,18:16.1,18:17.0,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[18_161-18_170].wav,14675796-1
békò tʂiáʔ ʒàwbá jèt,mi perro come tortilla,my dog eats tortilla,,BMAF01292021-1-combine:02:54.8,0:02.8,2:54.8,2:57.5,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[02_548-02_575].wav,39437248-1
ʂnà̰,mi madre,my mother,,BMAF01292021-1-combine:42:48.3,0:00.7,42:48.3,42:49.1,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[42_483-42_491].wav,50330791-2
zò wèn dà̰ ʒèʁó nìss jòɣòʒà,Estas sano porque tomas agua todos los días,You are a healthy person because you drink water everyday,,BMAF02032021-1-combine:42:11.9,0:03.5,42:11.9,42:15.4,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[42_119-42_154].wav,80679392-2
ʐíkòtó,nuestro.excl perro,our.exclusive dog,,BMAF01292021-1-combine:18:32.4,0:01.1,18:32.4,18:33.5,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[18_324-18_335].wav,37062639-1
